ORIGIN_AIRPORT_SEQ_ID,DEST_AIRPORT_SEQ_ID,REVISED_DISTANCE,LATITUDE_ORIGIN,LONGITUDE_ORIGIN,LATITUDE_DEST,LONGITUDE_DEST
1326404,1105703,2937,42.375,-122.87333333,35.21361111,-80.94916667
1326404,1155502,1812,42.375,-122.87333333,60.57333333,-151.24472222
1326404,1281902,1037,42.375,-122.87333333,55.35416667,-131.71111111
1326404,1329605,2591,42.375,-122.87333333,42.93277778,-71.43583333
1326404,1351404,1864,42.375,-122.87333333,25.77861111,-100.10694444
1326404,1405702,260,42.375,-122.87333333,45.58861111,-122.59694444
1326404,1430706,1848,42.375,-122.87333333,41.72222222,-71.42777778
1326404,1520502,6145,42.375,-122.87333333,41.41472222,19.72055556
1326404,1599102,1589,42.375,-122.87333333,59.50333333,-139.66027778
1326404,1625706,849,42.375,-122.87333333,51.1225,-114.01333333
1328907,1068503,1450,26.51,-77.085,40.47722222,-88.91583333
1328907,1105703,780,26.51,-77.085,35.21361111,-80.94916667
1328907,1405702,2781,26.51,-77.085,45.58861111,-122.59694444
1328907,1430706,836,26.51,-77.085,41.72222222,-71.42777778
1328907,1599102,3063,26.51,-77.085,59.50333333,-139.66027778
1328907,1625706,3115,26.51,-77.085,51.1225,-114.01333333
1329605,1054902,2779,42.93277778,-71.43583333,52.51166667,13.40138889
1329605,1068503,676,42.93277778,-71.43583333,40.47722222,-88.91583333
1329605,1105703,518,42.93277778,-71.43583333,35.21361111,-80.94916667
1329605,1304308,4959,42.93277778,-71.43583333,6.57861111,3.3225
1329605,1326404,1937,42.93277778,-71.43583333,42.375,-122.87333333
1329605,1351404,2562,42.93277778,-71.43583333,25.77861111,-100.10694444
1329605,1405702,3228,42.93277778,-71.43583333,45.58861111,-122.59694444
1329605,1430706,69,42.93277778,-71.43583333,41.72222222,-71.42777778
1329605,1625706,2362,42.93277778,-71.43583333,51.1225,-114.01333333
1351404,1054902,6113,25.77861111,-100.10694444,52.51166667,13.40138889
1351404,1068503,1545,25.77861111,-100.10694444,40.47722222,-88.91583333
1351404,1105703,1620,25.77861111,-100.10694444,35.21361111,-80.94916667
1351404,1304308,6517,25.77861111,-100.10694444,6.57861111,3.3225
1351404,1326404,1268,25.77861111,-100.10694444,42.375,-122.87333333
1351404,1329605,2580,25.77861111,-100.10694444,42.93277778,-71.43583333
1351404,1405702,2185,25.77861111,-100.10694444,45.58861111,-122.59694444
1351404,1430706,1407,25.77861111,-100.10694444,41.72222222,-71.42777778
1351404,1625706,1683,25.77861111,-100.10694444,51.1225,-114.01333333
1405702,1054902,6001,45.58861111,-122.59694444,52.51166667,13.40138889
1405702,1068503,2008,45.58861111,-122.59694444,40.47722222,-88.91583333
1405702,1072805,1809,45.58861111,-122.59694444,29.95083333,-94.02083333
1405702,1105703,2148,45.58861111,-122.59694444,35.21361111,-80.94916667
1405702,1155502,1376,45.58861111,-122.59694444,60.57333333,-151.24472222
1405702,1281902,576,45.58861111,-122.59694444,55.35416667,-131.71111111
1405702,1296503,472,45.58861111,-122.59694444,41.79166667,-111.85166667
1405702,1304308,7049,45.58861111,-122.59694444,6.57861111,3.3225
1405702,1326404,208,45.58861111,-122.59694444,42.375,-122.87333333
1405702,1328907,2649,45.58861111,-122.59694444,26.51,-77.085
1405702,1329605,3165,45.58861111,-122.59694444,42.93277778,-71.43583333
1405702,1351404,1537,45.58861111,-122.59694444,25.77861111,-100.10694444
1405702,1430706,2044,45.58861111,-122.59694444,41.72222222,-71.42777778
1405702,1456105,6042,45.58861111,-122.59694444,49.43694444,7.60027778
1405702,1520502,5016,45.58861111,-122.59694444,41.41472222,19.72055556
1405702,1599102,909,45.58861111,-122.59694444,59.50333333,-139.66027778
1405702,1625706,711,45.58861111,-122.59694444,51.1225,-114.01333333
1418203,1328907,675,40.08194444,-75.01055556,26.51,-77.085
1430706,1054902,3270,41.72222222,-71.42777778,52.51166667,13.40138889
1430706,1068503,1030,41.72222222,-71.42777778,40.47722222,-88.91583333
1430706,1072805,1299,41.72222222,-71.42777778,29.95083333,-94.02083333
1430706,1105703,488,41.72222222,-71.42777778,35.21361111,-80.94916667
1430706,1281902,2024,41.72222222,-71.42777778,55.35416667,-131.71111111
1430706,1304308,5970,41.72222222,-71.42777778,6.57861111,3.3225
1430706,1326404,3011,41.72222222,-71.42777778,42.375,-122.87333333
1430706,1328907,1084,41.72222222,-71.42777778,26.51,-77.085
1430706,1329605,104,41.72222222,-71.42777778,42.93277778,-71.43583333
1430706,1351404,2349,41.72222222,-71.42777778,25.77861111,-100.10694444
1430706,1405702,2639,41.72222222,-71.42777778,45.58861111,-122.59694444
1430706,1520502,3280,41.72222222,-71.42777778,41.41472222,19.72055556
